iter	Passed	Remaining
0	12	12795
1	15	7825
2	18	6159
3	20	5170
4	23	4607
5	25	4306
6	28	4068
7	32	4043
8	35	3894
9	37	3743
10	40	3597
11	43	3545
12	46	3506
13	48	3433
14	51	3358
15	53	3291
16	56	3252
17	60	3303
18	62	3243
19	65	3188
20	67	3132
21	69	3103
22	73	3113
23	75	3079
24	77	3035
25	80	3006
26	82	2972
27	86	3009
28	89	2993
29	91	2963
30	94	2939
31	96	2914
32	99	2910
33	102	2919
34	105	2898
35	107	2878
36	109	2855
37	111	2825
38	114	2826
39	117	2827
40	120	2810
41	122	2800
42	125	2787
43	128	2799
44	131	2793
45	134	2782
46	136	2765
47	138	2753
48	141	2742
49	145	2761
50	147	2749
51	150	2741
52	152	2728
53	155	2716
54	159	2736
55	161	2729
56	164	2722
57	167	2715
58	170	2717
59	173	2718
60	175	2709
61	178	2695
62	179	2676
63	182	2664
64	184	2659
65	187	2659
66	190	2647
67	192	2639
68	195	2634
69	197	2624
70	201	2637
71	203	2627
72	206	2618
73	208	2612
74	211	2605
75	215	2620
76	218	2613
77	220	2604
78	222	2599
79	225	2592
80	229	2599
81	231	2589
82	233	2580
83	236	2578
84	239	2573
85	242	2572
86	244	2567
87	246	2558
88	249	2551
89	251	2543
90	254	2537
91	257	2537
92	259	2532
93	261	2524
94	264	2518
95	266	2511
96	269	2509
97	272	2510
98	275	2503
99	277	2496
100	280	2495
101	283	2494
102	286	2496
103	289	2493
104	291	2486
105	294	2480
106	296	2476
107	301	2491
108	304	2490
109	306	2481
110	309	2478
111	312	2476
112	315	2479
113	317	2469
114	320	2463
115	322	2458
116	330	2492
117	332	2486
118	334	2479
119	337	2473
120	339	2467
121	345	2487
122	348	2486
123	351	2482
124	357	2501
125	360	2497
126	362	2492
127	365	2486
128	367	2481
129	371	2483
130	374	2482
131	376	2476
132	379	2472
133	381	2467
134	385	2471
135	388	2469
136	390	2462
137	393	2455
138	395	2448
139	399	2455
140	402	2452
141	404	2445
142	407	2443
143	409	2437
144	414	2442
145	416	2437
146	419	2431
147	421	2427
148	424	2422
149	427	2423
150	430	2421
151	432	2414
152	435	2409
153	438	2406
154	441	2407
155	444	2404
156	446	2398
157	449	2394
158	452	2392
159	455	2393
160	459	2392
161	461	2388
162	464	2384
163	467	2381
164	469	2377
165	473	2377
166	475	2372
167	478	2367
168	480	2364
169	483	2361
170	486	2358
171	488	2353
172	491	2349
173	493	2344
174	496	2339
175	500	2340
176	502	2337
177	504	2331
178	507	2327
179	510	2323
180	514	2329
181	517	2326
182	520	2321
183	522	2318
184	524	2312
185	528	2311
186	530	2308
187	532	2299
188	534	2294
189	537	2289
190	539	2284
191	542	2281
192	544	2276
193	546	2271
194	549	2266
195	551	2261
196	553	2258
197	558	2261
198	560	2256
199	562	2251
200	565	2247
201	567	2242
202	572	2248
203	575	2244
204	577	2239
205	579	2234
206	582	2231
207	585	2229
208	588	2225
209	590	2221
210	593	2217
211	595	2213
212	600	2217
213	602	2213
214	604	2208
215	607	2204
216	609	2199
217	612	2197
218	615	2195
219	618	2191
220	620	2186
221	623	2183
222	625	2179
223	629	2180
224	631	2175
225	634	2172
226	636	2167
227	638	2162
228	641	2161
229	644	2157
230	646	2153
231	649	2149
232	651	2144
233	654	2142
234	657	2140
235	659	2135
236	662	2131
237	665	2129
238	667	2126
239	671	2125
240	673	2122
241	676	2119
242	679	2116
243	681	2112
244	685	2112
245	688	2109
246	690	2105
247	693	2102
248	696	2100
249	700	2101
250	703	2098
251	705	2094
252	708	2091
253	711	2089
254	714	2087
255	716	2083
256	719	2079
257	721	2075
258	724	2073
259	728	2073
260	730	2069
261	733	2065
262	735	2061
263	738	2058
264	743	2062
265	747	2061
266	750	2059
267	753	2057
268	757	2057
269	760	2055
270	762	2051
271	765	2048
272	768	2046
273	771	2044
274	775	2043
275	777	2039
276	780	2035
277	784	2037
278	786	2032
279	789	2028
280	791	2025
281	794	2021
282	797	2021
283	800	2019
284	803	2015
285	805	2011
286	807	2007
287	811	2007
288	814	2004
289	817	2000
290	819	1996
291	821	1992
292	825	1990
293	827	1988
294	830	1983
295	832	1979
296	834	1976
297	838	1974
298	841	1972
299	843	1968
300	846	1965
301	850	1966
302	855	1966
303	857	1963
304	860	1960
305	863	1957
306	864	1952
307	868	1950
308	871	1948
309	874	1945
310	876	1942
311	879	1939
312	882	1936
313	885	1934
314	887	1930
315	891	1929
316	893	1925
317	896	1922
318	899	1920
